직업대분류,직업 안정성,근무조건,사회적 평판,주당 근로시간,평균소득(연봉),발전 가능성
"경영
사무
금융
보험직",3.7,3.43,3.67,41.12,"5,298",3.75
"연구직
공학
기술직",3.83,3.48,3.69,41.67,"4,580",3.91
"교육
법률
사회복지
경찰
소방직
군인",3.82,3.44,3.86,40.46,"4,358",3.86
"보건
의료직",3.96,3.46,3.92,42.05,"6,993",3.97
"예술
디자인
방송
스포츠직",3.69,3.34,3.67,39.56,"3,884",3.84
"미용
여행
숙박
음식
경비
청소직",3.4,2.96,3.06,42.42,"3,127",3.25
"영업
판매
운전
운송직",3.46,3.06,3.25,42.98,"4,109",3.29
"건설
채굴직",3.34,2.63,2.99,42.53,"4,106",3.29
"설치
정비
생산직",3.46,2.87,3.12,42.55,"3,759",3.38
"농림
어업직",3.51,2.79,3.03,42.86,"3,994",3.31
"전체
평균",3.65,3.23,3.49,41.82,"4,506",3.65
